subject,jp,kana,meaning,hits,exams,own_hits,own_exams,stem,stem_hits,stem_exams
tekisei,私利私欲,しりしよく,"lợi ích cá nhân, tư lợi, ích kỷ, tư lợi cá nhân",1,1,1,1,,0,0
tekisei,義務,ぎむ,"nghĩa vụ, bổn phận",178,29,151,16,,0,0
tekisei,掲げる,かかげる,"giương lên, treo lên, nêu cao (biểu ngữ, khẩu hiệu), đặt lên",9,9,9,9,,0,0
tekisei,失墜,しっつい,"sự sụp đổ, sự mất đi (quyền uy, danh tiếng, v.v.)",10,8,10,8,,0,0
tekisei,傷つけ,きずつけ,"làm tổn thương, gây thương tích, làm đau lòng",17,12,17,12,,0,0
tekisei,不名誉,ふめいよ,"tai tiếng, ô nhục, mất danh dự",12,8,12,8,,0,0
tekisei,正当,せいとう,"chính đáng, hợp pháp",34,17,30,15,,0,0
tekisei,盗用,とうよう,"đạo văn, sao chép, ăn cắp (ý tưởng)",29,15,29,15,,0,0
tekisei,努め,つとめ,"công việc, bổn phận, nhiệm vụ, sự cố gắng, nỗ lực",62,18,60,16,,0,0
tekisei,組織,そしき,tổ chức,154,24,142,16,,0,0
tekisei,負う,おう,"mang, gánh vác, chịu đựng",22,17,19,14,,0,0
tekisei,関与,かんよ,"liên quan, tham gia, dính líu",13,7,13,7,,0,0
tekisei,怠る,おこたる,"sao nhãng, bỏ bê, lơ là",1,1,1,1,,0,0
tekisei,公衆,こうしゅう,"công chúng, quần chúng, cộng đồng",53,16,50,15,,0,0
tekisei,損なう,そこなう,"làm hỏng, làm tổn hại, làm thiệt hại, gây hại, phá hoại",12,9,10,7,,0,0
tekisei,良心,りょうしん,lương tâm,4,4,4,4,,0,0
tekisei,信念,しんねん,"niềm tin, tín ngưỡng, lòng tin vững chắc",3,3,3,3,,0,0
tekisei,利益相反,りえきそうはん,xung đột lợi ích,12,5,12,5,,0,0
tekisei,公正さ,こうせいさ,sự công bằng; tính công bằng; sự chính trực,6,4,6,4,公正,43,14
tekisei,雇用者,こようしゃ,"người lao động, người làm công, người được tuyển dụng",5,5,5,5,,0,0
tekisei,依頼者,いらいしゃ,"người yêu cầu, người ủy thác, khách hàng",15,6,15,6,,0,0
tekisei,遂行,すいこう,"thực hiện, thi hành, tiến hành, hoàn thành",27,14,25,12,,0,0
tekisei,与える,あたえる,"cho, ban, cung cấp, gây ra",39,25,25,13,,0,0
tekisei,破壊,はかい,"sự phá hoại, sự hủy diệt, sự phá hủy",121,30,16,9,,0,0
tekisei,重視,じゅうし,"coi trọng, xem trọng, chú trọng, đặt nặng",22,11,20,9,,0,0
tekisei,守秘,しゅひ,"bảo mật, giữ bí mật",25,10,25,10,,0,0
tekisei,委ねる,ゆだねる,"giao phó, phó thác, ủy thác, trao cho (quyết định, số phận, trách nhiệm)",0,0,0,0,,0,0
tekisei,独自,どくじ,"độc đáo, riêng biệt, tự mình",24,15,19,10,,0,0
tekisei,予備校生,よびこうせい,học sinh trường luyện thi; học sinh ôn thi đại học,1,1,1,1,,0,0
tekisei,カンニング,かんにんぐ,"Quay cóp, gian lận (thi cử)",7,2,7,2,,0,0
tekisei,手口,てぐち,"thủ đoạn, mánh khóe, phương thức (gây án)",2,2,1,1,,0,0
tekisei,投稿,とうこう,"đăng bài, đăng tải, gửi bài (báo, tạp chí)",21,5,21,5,,0,0
tekisei,新聞報道,しんぶんほうどう,"tin tức báo chí, tường thuật của báo chí",1,1,1,1,,0,0
tekisei,相次いで,あいついで,"liên tiếp, nối tiếp nhau",2,2,2,2,相次,3,3
tekisei,偽計,ぎけい,"âm mưu, thủ đoạn gian lận, kế sách gian xảo",3,1,3,1,,0,0
tekisei,妨害罪,ぼうがいざい,"Tội gây cản trở, tội cản trở",2,1,2,1,,0,0
tekisei,偽計業務妨害罪,ぎけいぎょうむぼうがいざい,Tội cản trở hoạt động kinh doanh bằng thủ đoạn gian lận/lừa dối,2,1,2,1,,0,0
tekisei,捜査,そうさ,"điều tra, tìm kiếm, khám xét",1,1,1,1,,0,0
tekisei,容疑者,ようぎしゃ,"nghi phạm, đối tượng tình nghi",1,1,1,1,,0,0
tekisei,逮捕,たいほ,"bắt giữ, sự bắt giữ, sự bắt bớ",2,1,2,1,,0,0
tekisei,図る,はかる,"lên kế hoạch, âm mưu, toan tính",107,32,52,16,,0,0
tekisei,位置付ける,いちづける,"định vị, xếp đặt, đặt vào vị trí, coi là",3,3,1,1,位置付,7,5
tekisei,著しく,いちじるしく,"Đáng kể, rõ rệt, đặc biệt, cực kỳ",16,11,9,5,,0,0
tekisei,継続研さん,けいぞくけんさん,Không ngừng trau dồi/nâng cao kỹ năng,3,3,3,3,継続研,7,5
tekisei,執筆,しっぴつ,"Viết lách, biên soạn (tài liệu, báo cáo kỹ thuật)",4,3,4,3,,0,0
tekisei,証拠,しょうこ,"bằng chứng, chứng cứ",6,4,6,4,,0,0
tekisei,資質向上,ししつこうじょう,Nâng cao năng lực/phẩm chất chuyên môn,22,10,22,10,,0,0
tekisei,促す,うながす,"thúc đẩy, xúc tiến, khuyến khích",12,10,9,8,,0,0
tekisei,課す,かす,"áp đặt, quy định, bắt buộc (tiêu chuẩn, nghĩa vụ, hình phạt)",0,0,0,0,,0,0
tekisei,ハザード同定,ハザードどうてい,Định danh mối nguy; Xác định mối nguy,0,0,0,0,,0,0
tekisei,代替,だいたい,"thay thế, vật thay thế, phương án thay thế",16,7,3,2,,0,0
tekisei,保有,ほうゆう,"Sở hữu, nắm giữ, duy trì (tài sản, thiết bị, công nghệ, dữ liệu)",13,10,9,7,,0,0
tekisei,見合う,みあう,"Tương xứng, phù hợp, cân xứng",1,1,1,1,見合,4,4
tekisei,保護方策,ほごほうさく,Biện pháp bảo vệ; Phương sách bảo hộ,6,2,6,2,,0,0
tekisei,倫理,りんり,"Đạo đức nghề nghiệp, luân lý",197,20,191,16,,0,0
tekisei,顧客,こきゃく,"khách hàng, khách, chủ đầu tư, bên đặt hàng",77,15,76,14,,0,0
tekisei,雇用主,こようぬし,"Chủ lao động, Chủ đầu tư",6,4,6,4,,0,0
tekisei,利害,りがい,Lợi ích và thiệt hại; Quyền lợi,38,15,34,12,,0,0
tekisei,持続可能,じぞくかのう,"bền vững, có khả năng duy trì",68,20,49,12,,0,0
tekisei,捉える,とらえる,"nắm bắt, hiểu rõ, nhận diện",6,2,6,2,,0,0
tekisei,普遍性,ふへんせい,"Tính phổ quát, tính phổ biến, khả năng áp dụng rộng rãi (universality, generality, widespread applicability)",2,1,2,1,,0,0
tekisei,統合性,とうごうせい,"tính tích hợp, tính toàn vẹn",1,1,1,1,,0,0
tekisei,包摂性,ほうせつせい,"Tính bao quát, tính toàn diện",4,3,4,3,,0,0
tekisei,功利,こうり,tính thực dụng; lợi ích thiết thực,15,4,15,4,,0,0
tekisei,エシックス・テスト,エシックス・テスト,Bài kiểm tra đạo đức; Đánh giá đạo đức,3,1,3,1,,0,0
tekisei,自問,じもん,Tự vấn; Tự hỏi,0,0,0,0,,0,0
tekisei,代表的,だいひょうてき,Mang tính đại diện; Tiêu biểu,18,12,5,4,,0,0
tekisei,普遍化可能性,ふへんかかのうせい,Tính phổ quát; Khả năng khái quát hóa,6,1,6,1,,0,0
tekisei,可逆性,かぎゃくせい,Tính thuận nghịch; Khả năng đảo ngược,3,1,3,1,,0,0
tekisei,黄金律,おうごんりつ,Quy tắc vàng,12,3,12,3,,0,0
tekisei,美徳,びとく,Đức tính; Phẩm hạnh,4,1,4,1,,0,0
tekisei,周囲,しゅうい,Xung quanh; Môi trường xung quanh,12,8,2,2,,0,0
tekisei,世評,せいひょう,"Uy tín/danh tiếng công chúng, dư luận",6,1,6,1,,0,0
tekisei,報道,ほうどう,"Thông báo, tin tức, đưa tin (của truyền thông)",7,6,7,6,,0,0
tekisei,綱領,こうりょう,"cương lĩnh, nguyên tắc cơ bản, đề cương chính",23,10,23,10,,0,0
tekisei,迷う,まよう,"phân vân, lưỡng lự, bối rối",1,1,0,0,,0,0
tekisei,多角的,たかくてき,"Đa chiều, đa góc độ, toàn diện (từ nhiều khía cạnh)",0,0,0,0,,0,0
tekisei,不適切,ふてきせつ,không phù hợp,446,41,76,15,,0,0
